type,entry_time,exit_time,entry,exit,bars_held,reason,pnl,balance
BUY,2026-05-03 11:30:00,2026-05-03 19:00:00,78732.84,78708.26,30,TIMEOUT,-3.69,9995.13
BUY,2026-05-03 20:15:00,2026-05-03 20:30:00,78937.46,79052.48,1,TRAIL_SL,26.67,10019.97
BUY,2026-05-04 01:45:00,2026-05-04 06:15:00,79785.38,79816.83,18,TRAIL_SL,1.92,10021.41
BUY,2026-05-04 02:00:00,2026-05-04 06:15:00,79948.68,79730.22,17,TRAIL_SL,-12.09,10008.87
BUY,2026-05-04 02:30:00,2026-05-04 06:15:00,80179.9,79608.43,15,TRAIL_SL,-27.84,9980.64
BUY,2026-05-04 14:45:00,2026-05-04 22:15:00,80232.19,80268.73,30,TIMEOUT,1.66,9981.93
BUY,2026-05-05 02:00:00,2026-05-05 03:00:00,80472.45,80490.82,4,TRAIL_SL,2.24,9983.19
BUY,2026-05-05 02:30:00,2026-05-05 08:30:00,80825.2,80735.14,24,TRAIL_SL,-7.64,9974.86
BUY,2026-05-05 13:00:00,2026-05-05 14:00:00,81638.31,81114.98,4,TRAIL_SL,-43.7,9930.48
BUY,2026-05-06 03:15:00,2026-05-06 05:30:00,81632.6,81193.52,9,TRAIL_SL,-43.05,9886.64
BUY,2026-05-06 08:45:00,2026-05-06 12:00:00,81962.05,82350.83,13,TRAIL_SL,38.5,9924.33
BUY,2026-05-06 09:30:00,2026-05-06 12:00:00,82031.18,82314.33,10,TRAIL_SL,26.23,9949.8
BUY,2026-05-06 10:15:00,2026-05-06 12:00:00,82207.95,82224.92,7,TRAIL_SL,1.35,9950.49
BUY,2026-05-06 11:15:00,2026-05-06 13:00:00,82700.54,81970.47,7,TRAIL_SL,-45.41,9904.57
BUY,2026-05-07 07:00:00,2026-05-07 09:00:00,81673.08,81190.55,8,TRAIL_SL,-46.15,9857.64
BUY,2026-05-09 18:15:00,2026-05-09 23:30:00,81056.74,80640.07,21,TRAIL_SL,-46.68,9810.05
BUY,2026-05-10 15:00:00,2026-05-10 15:30:00,81060.94,80983.9,2,TRAIL_SL,-18.19,9789.95
BUY,2026-05-10 15:30:00,2026-05-10 15:45:00,81157.24,81213.74,1,TRAIL_SL,12.07,9800.29
BUY,2026-05-10 15:45:00,2026-05-10 19:00:00,81434.29,81211.75,13,TRAIL_SL,-29.37,9769.85
BUY,2026-05-10 16:00:00,2026-05-10 19:00:00,81494.1,81181.46,12,TRAIL_SL,-38.02,9730.83
BUY,2026-05-10 22:30:00,2026-05-11 00:15:00,81904.26,81595.46,7,TRAIL_SL,-17.0,9713.38
BUY,2026-05-10 23:00:00,2026-05-11 00:45:00,82416.48,81336.63,7,TRAIL_SL,-45.9,9667.14
BUY,2026-05-11 12:15:00,2026-05-11 13:30:00,81318.5,80968.52,5,TRAIL_SL,-43.61,9622.52
BUY,2026-05-11 16:00:00,2026-05-11 17:15:00,81803.08,81600.0,5,TIMEOUT,-13.29,9608.69
